species,genus,species_1,family,order,C,S,R,CSR
Callitriche palustris,Callitriche,palustris,Plantaginaceae,Lamiales,2.64,0,97.36,R
Callitriche platycarpa,Callitriche,platycarpa,Plantaginaceae,Lamiales,0.14,0,99.86,R
Elatine hexandra,Elatine,hexandra,Elatinaceae,Malpighiales,0,29.34,70.66,R/SR
Elatine hydropiper,Elatine,hydropiper,Elatinaceae,Malpighiales,0,0,100,R
Juncus tenageia,Juncus,tenageia,Juncaceae,Poales,2.02,0,97.98,R
Lemna trisulca,Lemna,trisulca,Araceae,Alismatales,0,0,100,R
Luronium natans,Luronium,natans,Alismataceae,Alismatales,13.65,0,86.35,R
Marsilea quadrifolia,Marsilea,quadrifolia,Marsileaceae,Salviniales,17.82,28.91,53.27,R/CSR
Myriophyllum alterniflorum,Myriophyllum,alterniflorum,Haloragaceae,Saxifragales,0,19.26,80.74,R/SR
Nymphaea marliacea,Nymphaea,marliacea,Nymphaeaceae,Nymphaeales,90.91,2.13,6.96,C
Oenanthe lachenalii,Oenanthe,lachenalii,Apiaceae,Apiales,48.61,21.2,30.18,C/CSR
Persicaria dubia,Persicaria,dubia,Polygonaceae,Caryophyllales,23.91,0,76.09,R/CR
Calamistrum globuliferum,Calamistrum,globuliferum,Marsileaceae,Salviniales,0.39,0,99.61,R
Potamogeton alpinus,Potamogeton,alpinus,Potamogetonaceae,Alismatales,19.38,0.89,79.73,R/CR
Potamogeton compressus,Potamogeton,compressus,Potamogetonaceae,Alismatales,8.68,0,91.32,R
Potamogeton gramineus,Potamogeton,gramineus,Potamogetonaceae,Alismatales,18.96,11.56,69.48,R/CR
Potamogeton lucens,Potamogeton,lucens,Potamogetonaceae,Alismatales,32.1,5.86,62.05,R/CR
Potamogeton obtusifolius,Potamogeton,obtusifolius,Potamogetonaceae,Alismatales,6.47,27.31,66.22,R/SR
Stuckenia pectinata,Stuckenia,pectinata,Potamogetonaceae,Alismatales,2.45,0,97.55,R
Ranunculus aquatilis,Ranunculus,aquatilis,Ranunculaceae,Ranunculales,11.11,0,88.89,R
Ranunculus fluitans,Ranunculus,fluitans,Ranunculaceae,Ranunculales,32.62,0,67.38,R/CR
Rumex aquaticus,Rumex,aquaticus,Polygonaceae,Caryophyllales,80.47,0,19.53,C/CR
Isolepis fluitans,Isolepis,fluitans,Cyperaceae,Poales,0,27.03,72.97,R/SR
Utricularia australis,Utricularia,australis,Lentibulariaceae,Lamiales,7.69,0,92.31,R
Utricularia vulgaris,Utricularia,vulgaris,Lentibulariaceae,Lamiales,10.15,0,89.85,R
Zannichellia palustris,Zannichellia,palustris,Potamogetonaceae,Alismatales,0,0,100,R
Alisma plantago-aquatica,Alisma,plantago-aquatica,Alismataceae,Alismatales,71.18,0,28.82,C/CR
Berula erecta,Berula,erecta,Apiaceae,Apiales,25.8,0,74.2,R/CR
Callitriche hamulata,Callitriche,hamulata,Plantaginaceae,Lamiales,0.97,25.52,73.51,R/SR
Callitriche stagnalis,Callitriche,stagnalis,Plantaginaceae,Lamiales,0,0,100,R
Ceratophyllum demersum,Ceratophyllum,demersum,Ceratophyllaceae,Ceratophyllales,23.88,0,76.12,R/CR
Egeria densa,Egeria,densa,Hydrocharitaceae,Alismatales,5.08,0,94.92,R
Elodea canadensis,Elodea,canadensis,Hydrocharitaceae,Alismatales,2.4,45.4,52.2,SR
Groenlandia densa,Groenlandia,densa,Potamogetonaceae,Alismatales,2.8,21.7,75.5,R/SR
Heteranthera limosa,Heteranthera,limosa,Pontederiaceae,Commelinales,28.52,0,71.48,R/CR
Heteranthera reniformis,Heteranthera,reniformis,Pontederiaceae,Commelinales,29.45,0,70.55,R/CR
Hippuris vulgaris,Hippuris,vulgaris,Plantaginaceae,Lamiales,1.94,0,98.06,R
Hottonia palustris,Hottonia,palustris,Primulaceae,Ericales,12.26,12.73,75.01,R/SR
Hydrocharis morsus-ranae,Hydrocharis,morsus-ranae,Hydrocharitaceae,Alismatales,36.99,0,63.01,R/CR
Juncus bulbosus,Juncus,bulbosus,Juncaceae,Poales,5.27,50.16,44.58,SR
Lemna gibba,Lemna,gibba,Araceae,Alismatales,0,0,100,R
Lemna minor,Lemna,minor,Araceae,Alismatales,0,0,100,R
Myriophyllum aquaticum,Myriophyllum,aquaticum,Haloragaceae,Saxifragales,11.17,0,88.83,R
Myriophyllum spicatum,Myriophyllum,spicatum,Haloragaceae,Saxifragales,6.33,0,93.67,R
Najas marina,Najas,marina,Hydrocharitaceae,Alismatales,7.12,0,92.88,R
Najas minor,Najas,minor,Hydrocharitaceae,Alismatales,0,0,100,R
Nasturtium officinale,Nasturtium,officinale,Brassicaceae,Brassicales,11.73,0,88.27,R
Nelumbo nucifera,Nelumbo,nucifera,Nelumbonaceae,Proteales,91.9,1.09,7.01,C
Nuphar lutea,Nuphar,lutea,Nymphaeaceae,Nymphaeales,88.77,9.61,1.62,C
Nymphaea odorata,Nymphaea,odorata,Nymphaeaceae,Nymphaeales,87.36,6.32,6.32,C
Nymphoides peltata,Nymphoides,peltata,Menyanthaceae,Asterales,64.25,0,35.75,C/CR
Oenanthe aquatica,Oenanthe,aquatica,Apiaceae,Apiales,62.51,0,37.49,C/CR
Oenanthe fistulosa,Oenanthe,fistulosa,Apiaceae,Apiales,23.31,0,76.69,R/CR
Persicaria amphibia,Persicaria,amphibia,Polygonaceae,Caryophyllales,34.92,9.55,55.53,CR
Persicaria hydropiper,Persicaria,hydropiper,Polygonaceae,Caryophyllales,22.6,0,77.4,R/CR
Potamogeton acutifolius,Potamogeton,acutifolius,Potamogetonaceae,Alismatales,3.46,37.05,59.48,SR
Potamogeton crispus,Potamogeton,crispus,Potamogetonaceae,Alismatales,17.12,16.63,66.25,R/CR
Potamogeton natans,Potamogeton,natans,Potamogetonaceae,Alismatales,47.27,9.1,43.64,CR
Potamogeton nodosus,Potamogeton,nodosus,Potamogetonaceae,Alismatales,51.41,13.47,35.12,CR/CSR
Potamogeton perfoliatus,Potamogeton,perfoliatus,Potamogetonaceae,Alismatales,24.91,0,75.09,R/CR
Potamogeton polygonifolius,Potamogeton,polygonifolius,Potamogetonaceae,Alismatales,28.94,54.92,16.14,S/CSR
