Taxon,ID Number,Rank,Trophic Mode,Guild,Confidence Ranking,Growth Form,Trait,Notes,Source/Citation
Aabaarnia siphulicola,810084,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Siphula decumbens,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus,4,Genus,Pathotroph,Lichen Parasite,Possible,Microfungus,NULL,NULL,Esslinger TL. 2014. North Dakota State University [Link]
Abrothallus acetabuli,126689,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Pleurosticta acetabulum,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus bertianus,478577,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Melanelixia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus boomii,809372,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Nephroma,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus brattii,809373,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Pseudocyphellaria faveolata,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus bryoriarum,363162,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Bryoria,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus buellianus,226680,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Parmelina,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus caerulescens,227299,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Xanthoparmelia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus canariensis,809366,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Pseudocyphellaria aurata,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus cetrariae,203553,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Platismatia glauca,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus chrysanthus,630958,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Usnea,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus cladoniae,125687,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Cladonia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus doliiformis,809367,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Sticta,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus eriodermae,809368,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Erioderma,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus ertzii,809369,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Lobaria pulmonaria,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus etayoi,809370,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Sticta,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus granulatae,362549,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Pseudocyphellaria,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus halei,518660,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Lobaria,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus hypotrachynae,371712,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Hypotrachyna,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus kamchatica,810720,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Nephroma,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus macrosporus,810726,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Durietzia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus microspermus,216226,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Flavoparmelia caperata,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus nephromatis,809371,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Nephroma,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus parmeliarum,216521,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Parmelia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus parmotrematis,563492,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Parmotrema,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus peyritschii,228432,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Vulpicida,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus pezizicola,484171,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Cladonia peziziformis,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus prodiens,126687,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Hypogymnia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus secedens,362548,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Pseudocyphellaria,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
